case,answer,answer_component,answer_reason,prediction,error,top1_component,top1_reason,top1_both,top2_component,top2_reason,top2_both,top3_component,top3_reason,top3_both
case_000001,checkoutservice_cpu,checkoutservice,cpu,"[""checkoutservice_cpu"", ""currencyservice_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000002,checkoutservice_cpu,checkoutservice,cpu,"[""checkoutservice_cpu"", ""currencyservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000003,checkoutservice_cpu,checkoutservice,cpu,"[""checkoutservice_cpu"", ""checkoutservice_mem"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000004,checkoutservice_latency,checkoutservice,latency,"[""emailservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]",,False,True,False,True,True,True,True,True,True
case_000005,checkoutservice_latency,checkoutservice,latency,"[""emailservice_latency"", ""checkoutservice_latency"", ""shippingservice_latency""]",,False,True,False,True,True,True,True,True,True
case_000006,checkoutservice_latency,checkoutservice,latency,"[""shippingservice_latency"", ""checkoutservice_latency"", ""paymentservice_latency""]",,False,True,False,True,True,True,True,True,True
case_000007,checkoutservice_diskio,checkoutservice,diskio,"[""checkoutservice_diskio"", ""emailservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000008,checkoutservice_diskio,checkoutservice,diskio,"[""checkoutservice_diskio"", ""emailservice_mem"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000009,checkoutservice_diskio,checkoutservice,diskio,"[""checkoutservice_diskio"", ""currencyservice_latency"", ""paymentservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000010,checkoutservice_latency,checkoutservice,latency,"[""checkoutservice_latency"", ""currencyservice_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000011,checkoutservice_latency,checkoutservice,latency,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,False,False,False,True,True,True,True,True,True
case_000012,checkoutservice_latency,checkoutservice,latency,"[""checkoutservice_latency"", ""currencyservice_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000013,checkoutservice_mem,checkoutservice,mem,"[""checkoutservice_mem"", ""currencyservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000014,checkoutservice_mem,checkoutservice,mem,"[""checkoutservice_mem"", ""checkoutservice_cpu"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000015,checkoutservice_mem,checkoutservice,mem,"[""checkoutservice_mem"", ""currencyservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000016,checkoutservice_socket,checkoutservice,socket,"[""checkoutservice_socket"", ""currencyservice_latency"", ""emailservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000017,checkoutservice_socket,checkoutservice,socket,"[""checkoutservice_mem"", ""checkoutservice_socket"", ""currencyservice_latency""]",,True,False,False,True,True,True,True,True,True
case_000018,checkoutservice_socket,checkoutservice,socket,"[""checkoutservice_mem"", ""emailservice_mem"", ""currencyservice_mem""]",,True,False,False,True,False,False,True,False,False
case_000019,currencyservice_cpu,currencyservice,cpu,"[""currencyservice_latency"", ""checkoutservice_latency"", ""frontend_latency""]",,True,False,False,True,False,False,True,False,False
case_000020,currencyservice_cpu,currencyservice,cpu,"[""currencyservice_latency"", ""emailservice_mem"", ""cartservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000021,currencyservice_cpu,currencyservice,cpu,"[""currencyservice_latency"", ""frontend_latency"", ""cartservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000022,currencyservice_latency,currencyservice,latency,"[""currencyservice_latency"", ""checkoutservice_latency"", ""frontend_latency""]",,True,True,True,True,True,True,True,True,True
case_000023,currencyservice_latency,currencyservice,latency,"[""currencyservice_latency"", ""frontend_latency"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000024,currencyservice_latency,currencyservice,latency,"[""currencyservice_latency"", ""checkoutservice_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000025,currencyservice_diskio,currencyservice,diskio,"[""currencyservice_diskio"", ""currencyservice_latency"", ""currencyservice_mem""]",,True,True,True,True,True,True,True,True,True
case_000026,currencyservice_diskio,currencyservice,diskio,"[""currencyservice_diskio"", ""currencyservice_mem"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000027,currencyservice_diskio,currencyservice,diskio,"[""currencyservice_diskio"", ""currencyservice_mem"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000028,currencyservice_latency,currencyservice,latency,"[""currencyservice_latency"", ""frontend_latency"", ""recommendationservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000029,currencyservice_latency,currencyservice,latency,"[""currencyservice_latency"", ""checkoutservice_latency"", ""frontend_latency""]",,True,True,True,True,True,True,True,True,True
case_000030,currencyservice_latency,currencyservice,latency,"[""checkoutservice_latency"", ""currencyservice_latency"", ""recommendationservice_latency""]",,False,True,False,True,True,True,True,True,True
case_000031,currencyservice_mem,currencyservice,mem,"[""currencyservice_mem"", ""currencyservice_latency"", ""recommendationservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000032,currencyservice_mem,currencyservice,mem,"[""currencyservice_mem"", ""currencyservice_latency"", ""checkoutservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000033,currencyservice_mem,currencyservice,mem,"[""currencyservice_mem"", ""checkoutservice_latency"", ""emailservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000034,currencyservice_socket,currencyservice,socket,"[""currencyservice_mem"", ""emailservice_latency"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000035,currencyservice_socket,currencyservice,socket,"[""currencyservice_latency"", ""emailservice_mem"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000036,currencyservice_socket,currencyservice,socket,"[""currencyservice_latency"", ""emailservice_mem"", ""checkoutservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000037,emailservice_cpu,emailservice,cpu,"[""emailservice_cpu"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000038,emailservice_cpu,emailservice,cpu,"[""emailservice_latency"", ""emailservice_cpu"", ""emailservice_mem""]",,True,False,False,True,True,True,True,True,True
case_000039,emailservice_cpu,emailservice,cpu,"[""emailservice_mem"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,False,False,True,False,False,True,False,False
case_000040,emailservice_latency,emailservice,latency,"[""emailservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000041,emailservice_latency,emailservice,latency,"[""emailservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000042,emailservice_latency,emailservice,latency,"[""emailservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
case_000043,emailservice_diskio,emailservice,diskio,"[""emailservice_diskio"", ""checkoutservice_latency"", ""currencyservice_latency""]",,True,True,True,True,True,True,True,True,True
