case,answer,step,kind,status,start_time,end_time,components,modalities,returned_count,truncated,workflow_check,prediction
case_000001,checkoutservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000001,checkoutservice_cpu,8,component_focus,True,1080,1260,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000001,checkoutservice_cpu,9,completed,True,,,,,,,OK completed,"[""checkoutservice_cpu"", ""currencyservice_latency"", ""emailservice_latency""]"
case_000002,checkoutservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000002,checkoutservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000002,checkoutservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000002,checkoutservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000002,checkoutservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000002,checkoutservice_cpu,6,component_focus,True,720,900,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->logs->metrics->logs->metrics->logs->metrics->logs,42,False,OK component focus metrics->trace->log,
case_000002,checkoutservice_cpu,7,component_focus,True,720,900,"[""checkoutservice"", ""currencyservice"", ""emailservice"", ""productcatalogservice"", ""recommendationservice""]",metrics->traces->logs->metrics->traces->logs->metrics->logs->metrics->logs->metrics->logs->metrics->logs,42,False,OK component focus metrics->trace->log,
case_000002,checkoutservice_cpu,8,completed,True,,,,,,,OK completed,"[""checkoutservice_cpu"", ""currencyservice_latency"", ""emailservice_mem""]"
case_000003,checkoutservice_cpu,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000003,checkoutservice_cpu,9,component_focus,True,1260,1440,"[""checkoutservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,54,False,OK component focus metrics->trace->log,
case_000003,checkoutservice_cpu,10,completed,True,,,,,,,OK completed,"[""checkoutservice_cpu"", ""checkoutservice_mem"", ""checkoutservice_latency""]"
case_000004,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,7,metrics_broad_scan,True,1080,1260,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,8,metrics_broad_scan,True,1260,1440,[],metrics,18,False,OK metrics-only broad scan,
case_000004,checkoutservice_latency,9,component_focus,True,1260,1440,"[""emailservice""]",metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs->metrics->traces->logs,42,False,OK component focus metrics->trace->log,
case_000004,checkoutservice_latency,10,completed,True,,,,,,,OK completed,"[""emailservice_latency"", ""checkoutservice_latency"", ""currencyservice_latency""]"
case_000005,checkoutservice_latency,1,metrics_broad_scan,True,0,180,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,2,metrics_broad_scan,True,180,360,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,3,metrics_broad_scan,True,360,540,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,4,metrics_broad_scan,True,540,720,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,5,metrics_broad_scan,True,720,900,[],metrics,18,False,OK metrics-only broad scan,
case_000005,checkoutservice_latency,6,metrics_broad_scan,True,900,1080,[],metrics,18,False,OK metrics-only broad scan,
