case,answer,completed,error,steps,broad_call_count,full_metrics_scan,broad_metrics_only,focus_call_count,focus_metrics_first,focus_has_trace_log,alternative_compare,multiple_focus_backtrack_like,retry_steps,failed_call_count,workflow_ok
case_000001,checkoutservice_cpu,True,,9,7,False,True,1,True,True,False,False,0,0,False
case_000002,checkoutservice_cpu,True,,8,5,False,True,2,True,True,True,True,0,0,False
case_000003,checkoutservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000004,checkoutservice_latency,True,,10,8,True,True,1,True,True,False,False,1,0,True
case_000005,checkoutservice_latency,True,,10,8,True,True,0,False,False,False,False,0,0,False
case_000006,checkoutservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000007,checkoutservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000008,checkoutservice_diskio,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000009,checkoutservice_diskio,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000010,checkoutservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000011,checkoutservice_latency,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000012,checkoutservice_latency,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000013,checkoutservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000014,checkoutservice_mem,True,,8,6,False,True,0,False,False,False,False,0,0,False
case_000015,checkoutservice_mem,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000016,checkoutservice_socket,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000017,checkoutservice_socket,True,,11,8,True,True,2,True,True,False,True,0,0,True
case_000018,checkoutservice_socket,True,,11,8,True,True,2,True,True,True,True,0,0,True
case_000019,currencyservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000020,currencyservice_cpu,True,,10,8,True,True,1,True,True,False,False,0,0,True
case_000021,currencyservice_cpu,True,,11,8,True,True,2,True,True,True,True,0,0,True
